============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-9.0.3, pluggy-1.6.0 -- C:\Users\Visitante\Desktop\Projectos de Github\PatchForge\.venv\Scripts\python.exe
cachedir: .pytest_cache
rootdir: C:\Users\Visitante\Desktop\Projectos de Github\PatchForge
configfile: pyproject.toml
testpaths: tests
plugins: anyio-4.13.0, cov-7.1.0
collecting ... collected 332 items

tests/llm/test_parser.py::TestAc2Parsing::test_plain_json PASSED         [  0%]
tests/llm/test_parser.py::TestAc2Parsing::test_json_fences PASSED        [  0%]
tests/llm/test_parser.py::TestAc2Parsing::test_prose_before_json PASSED  [  0%]
tests/llm/test_parser.py::TestAc2Parsing::test_json_in_markdown PASSED   [  1%]
tests/llm/test_parser.py::TestAc2Parsing::test_braces_in_string_value PASSED [  1%]
tests/llm/test_parser.py::TestAc2Parsing::test_placeholders_before_json PASSED [  1%]
tests/llm/test_parser.py::TestAc2Parsing::test_aux_dict_before_contractual PASSED [  2%]
tests/llm/test_parser.py::TestAc3LlmpParseError::test_malformed_json PASSED [  2%]
tests/llm/test_parser.py::TestAc3LlmpParseError::test_truncated_json PASSED [  2%]
tests/llm/test_parser.py::TestAc3LlmpParseError::test_top_level_primitive_null PASSED [  3%]
tests/llm/test_parser.py::TestAc3LlmpParseError::test_top_level_primitive_number PASSED [  3%]
tests/llm/test_parser.py::TestAc3LlmpParseError::test_top_level_array PASSED [  3%]
tests/llm/test_parser.py::TestAc3LlmpParseError::test_empty_text PASSED  [  3%]
tests/llm/test_parser.py::TestAc3LlmpParseError::test_input_too_large PASSED [  4%]
tests/llm/test_parser.py::TestAc4SchemaValidationError::test_valid_json_invalid_schema PASSED [  4%]
tests/llm/test_parser.py::TestAc5TypeError::test_schema_not_a_type PASSED [  4%]
tests/llm/test_parser.py::TestAc5TypeError::test_schema_non_pydantic_class PASSED [  5%]
tests/llm/test_parser.py::TestAc5TypeError::test_schema_is_basemodel_itself PASSED [  5%]
tests/llm/test_parser.py::TestAc11Chaining::test_schema_validation_error_chains_validation_error PASSED [  5%]
tests/llm/test_parser.py::TestAc11Chaining::test_llm_parse_error_no_brace_has_no_cause PASSED [  6%]
tests/llm/test_parser.py::TestAc11Chaining::test_llm_parse_error_non_dict_has_no_cause PASSED [  6%]
tests/test_architect.py::TestArchitectRun::test_clean_json PASSED        [  6%]
tests/test_architect.py::TestArchitectRun::test_trailing_text PASSED     [  6%]
tests/test_architect.py::TestArchitectRun::test_preamble_text PASSED     [  7%]
tests/test_architect.py::TestArchitectRun::test_preamble_fenced_trailing PASSED [  7%]
tests/test_architect.py::TestArchitectRun::test_brace_in_string_value PASSED [  7%]
tests/test_architect.py::TestArchitectRun::test_raises_on_invalid_json PASSED [  8%]
tests/test_architect.py::TestArchitectRun::test_raises_on_empty_response PASSED [  8%]
tests/test_architect.py::TestArchitectRunFromIssue::test_clean_json PASSED [  8%]
tests/test_architect.py::TestArchitectRunFromIssue::test_trailing_text PASSED [  9%]
tests/test_architect.py::TestArchitectRunFromIssue::test_raises_on_invalid_json PASSED [  9%]
tests/test_architect.py::TestArchitectRunFromIssue::test_braces_in_body_do_not_crash PASSED [  9%]
tests/test_artifacts.py::test_generate_run_id_format PASSED              [  9%]
tests/test_artifacts.py::test_generate_run_id_uniqueness PASSED          [ 10%]
tests/test_artifacts.py::test_run_metadata_serialization PASSED          [ 10%]
tests/test_artifacts.py::test_run_metadata_backward_compatibility PASSED [ 10%]
tests/test_artifacts.py::test_run_metadata_lifecycle_state_all_valid_values[VALID] PASSED [ 11%]
tests/test_artifacts.py::test_run_metadata_lifecycle_state_all_valid_values[REBASEABLE] PASSED [ 11%]
tests/test_artifacts.py::test_run_metadata_lifecycle_state_all_valid_values[CONFLICT] PASSED [ 11%]
tests/test_artifacts.py::test_run_metadata_lifecycle_state_all_valid_values[STALE] PASSED [ 12%]
tests/test_artifacts.py::test_run_metadata_lifecycle_state_accepts_string_coercion PASSED [ 12%]
tests/test_artifacts.py::test_run_metadata_lifecycle_state_rejects_invalid_value PASSED [ 12%]
tests/test_baseline_cli.py::TestDoctorBaseline::test_doctor_exit_code_0_when_supported PASSED [ 12%]
tests/test_baseline_cli.py::TestDoctorBaseline::test_doctor_exit_code_1_when_unsupported PASSED [ 13%]
tests/test_baseline_cli.py::TestDoctorBaseline::test_doctor_stdout_contains_v1_supported PASSED [ 13%]
tests/test_baseline_cli.py::TestDoctorBaseline::test_doctor_json_output_parses PASSED [ 13%]
tests/test_baseline_cli.py::TestDoctorBaseline::test_doctor_does_not_write_to_target PASSED [ 14%]
tests/test_baseline_cli.py::TestScanBaseline::test_scan_exit_code_0_when_supported PASSED [ 14%]
tests/test_baseline_cli.py::TestScanBaseline::test_scan_stdout_contains_scanner_header PASSED [ 14%]
tests/test_baseline_cli.py::TestScanBaseline::test_scan_creates_findings_artifact PASSED [ 15%]
tests/test_baseline_cli.py::TestScanBaseline::test_scan_does_not_touch_target PASSED [ 15%]
tests/test_baseline_cli.py::TestScanBaseline::test_scan_rejects_workspace_inside_target PASSED [ 15%]
tests/test_circuit_breaker.py::test_closed_to_open_on_threshold PASSED   [ 15%]
tests/test_circuit_breaker.py::test_open_rejects_immediately PASSED      [ 16%]
tests/test_circuit_breaker.py::test_open_to_half_open_after_timeout PASSED [ 16%]
tests/test_circuit_breaker.py::test_half_open_success_closes PASSED      [ 16%]
tests/test_circuit_breaker.py::test_half_open_failure_reopens PASSED     [ 17%]
tests/test_circuit_breaker.py::test_failure_below_threshold_stays_closed PASSED [ 17%]
tests/test_circuit_breaker.py::test_counter_resets_on_success PASSED     [ 17%]
tests/test_circuit_breaker.py::test_half_open_rejects_additional_calls PASSED [ 18%]
tests/test_circuit_breaker.py::test_cb_open_error_not_self_counted PASSED [ 18%]
tests/test_circuit_breaker.py::test_half_open_inflight_reset_on_failure PASSED [ 18%]
tests/test_circuit_breaker_integration.py::test_low_fallback_to_groq PASSED [ 18%]
tests/test_circuit_breaker_integration.py::test_low_fallback_groq_then_claude PASSED [ 19%]
tests/test_circuit_breaker_integration.py::test_low_recoverable_sdk_exception PASSED [ 19%]
tests/test_circuit_breaker_integration.py::test_medium_fallback_to_gemini PASSED [ 19%]
tests/test_circuit_breaker_integration.py::test_medium_empty_then_gemini PASSED [ 20%]
tests/test_circuit_breaker_integration.py::test_high_fails_no_fallback PASSED [ 20%]
tests/test_circuit_breaker_integration.py::test_all_providers_exhausted PASSED [ 20%]
tests/test_circuit_breaker_integration.py::test_validator_uses_raw_stderr_when_cb_open PASSED [ 21%]
tests/test_cli.py::test_run_hidden_from_help PASSED                      [ 21%]
tests/test_cli.py::test_run_still_callable PASSED                        [ 21%]
tests/test_cli.py::test_run_shows_deprecation_warning PASSED             [ 21%]
tests/test_cli.py::test_run_rejects_legacy_flags PASSED                  [ 22%]
tests/test_cli.py::test_scan_rejects_workspace_inside_target PASSED      [ 22%]
tests/test_cli.py::test_apply_rollback_block1 PASSED                     [ 22%]
tests/test_cli.py::test_apply_rollback_block2_fail PASSED                [ 23%]
tests/test_cli.py::test_apply_rollback_block2_success PASSED             [ 23%]
tests/test_doctor.py::TestDetectTestSuite::test_tests_directory PASSED   [ 23%]
tests/test_doctor.py::TestDetectTestSuite::test_test_directory PASSED    [ 24%]
tests/test_doctor.py::TestDetectTestSuite::test_pytest_ini PASSED        [ 24%]
tests/test_doctor.py::TestDetectTestSuite::test_conftest_py PASSED       [ 24%]
tests/test_doctor.py::TestDetectTestSuite::test_tool_pytest_ini_options_in_pyproject PASSED [ 25%]
tests/test_doctor.py::TestDetectTestSuite::test_test_glob PASSED         [ 25%]
tests/test_doctor.py::TestDetectTestSuite::test_glob_alternative PASSED  [ 25%]
tests/test_doctor.py::TestDetectTestSuite::test_no_suite PASSED          [ 25%]
tests/test_doctor.py::TestCheckCommandAvailable::test_known_command PASSED [ 26%]
tests/test_doctor.py::TestCheckCommandAvailable::test_unknown_command PASSED [ 26%]
tests/test_doctor.py::TestCheckGit::test_pass PASSED                     [ 26%]
tests/test_doctor.py::TestCheckGit::test_fail_not_a_repo PASSED          [ 27%]
tests/test_doctor.py::TestCheckWorkspace::test_pass PASSED               [ 27%]
tests/test_doctor.py::TestCheckWorkspace::test_fail_when_inside_target PASSED [ 27%]
tests/test_doctor.py::TestCheckPyproject::test_pass PASSED               [ 28%]
tests/test_doctor.py::TestCheckPyproject::test_fail_no_file PASSED       [ 28%]
tests/test_doctor.py::TestCheckPyproject::test_fail_invalid_toml PASSED  [ 28%]
tests/test_doctor.py::TestCheckPyproject::test_fail_missing_build_system PASSED [ 28%]
tests/test_doctor.py::TestCheckRuff::test_pass_when_ruff_available PASSED [ 29%]
tests/test_doctor.py::TestCheckRuff::test_fail_when_ruff_unavailable PASSED [ 29%]
tests/test_doctor.py::TestCheckRuff::test_pass_with_lint_command_config PASSED [ 29%]
tests/test_doctor.py::TestCheckPytest::test_pass_with_test_dir PASSED    [ 30%]
tests/test_doctor.py::TestCheckPytest::test_fail_no_pytest_no_config PASSED [ 30%]
tests/test_doctor.py::TestCheckPytest::test_fail_pytest_available_but_no_tests PASSED [ 30%]
tests/test_doctor.py::TestCheckPytest::test_pass_with_test_command_config PASSED [ 31%]
tests/test_doctor.py::TestCheckPytest::test_fail_test_command_config_but_no_suite PASSED [ 31%]
tests/test_doctor.py::TestCheckApiKeys::test_all_missing PASSED          [ 31%]
tests/test_doctor.py::TestCheckApiKeys::test_all_present PASSED          [ 31%]
tests/test_doctor.py::TestCheckApiKeys::test_partial_presence PASSED     [ 32%]
tests/test_doctor.py::TestCheckApiKeys::test_v1_supported_unaffected PASSED [ 32%]
tests/test_doctor.py::TestDetectTypescriptDirect::test_detects_ts_files PASSED [ 32%]
tests/test_doctor.py::TestDetectTypescriptDirect::test_detects_tsx_files PASSED [ 33%]
tests/test_doctor.py::TestDetectTypescriptDirect::test_detects_nested_ts_files PASSED [ 33%]
tests/test_doctor.py::TestDetectTypescriptDirect::test_no_ts_files PASSED [ 33%]
tests/test_doctor.py::TestDetectTypescriptDirect::test_empty_directory PASSED [ 34%]
tests/test_doctor.py::TestDetectTypescript::test_typescript_warn_added_when_ts_files_exist PASSED [ 34%]
tests/test_doctor.py::TestDetectTypescript::test_typescript_no_warn_when_no_ts_files PASSED [ 34%]
tests/test_doctor.py::TestDetectTypescript::test_v1_supported_unaffected_by_typescript_warn PASSED [ 34%]
tests/test_doctor.py::TestCheck::test_v1_supported_true_when_all_pass PASSED [ 35%]
tests/test_doctor.py::TestCheck::test_v1_supported_false_when_any_required_check_fails PASSED [ 35%]
tests/test_doctor.py::TestCheck::test_dirty_tree_reported PASSED         [ 35%]
tests/test_doctor.py::TestCheck::test_does_not_write_to_target PASSED    [ 36%]
tests/test_doctor.py::TestDoctorCLI::test_json_output PASSED             [ 36%]
tests/test_doctor.py::TestDoctorCLI::test_exit_code_0_when_supported PASSED [ 36%]
tests/test_doctor.py::TestDoctorCLI::test_exit_code_1_when_unsupported PASSED [ 37%]
tests/test_doctor.py::TestDoctorCLI::test_does_not_require_api_keys PASSED [ 37%]
tests/test_executor.py::test_executor_run_returns_tuple PASSED           [ 37%]
tests/test_executor.py::test_executor_get_logger_uses_shared_helper PASSED [ 37%]
tests/test_executor.py::test_accumulated_changes_same_file PASSED        [ 38%]
tests/test_executor.py::test_rollback_to_commit_success PASSED           [ 38%]
tests/test_executor.py::test_rollback_to_commit_failure PASSED           [ 38%]
tests/test_executor.py::test_apply_task_rejects_path_traversal PASSED    [ 39%]
tests/test_executor_scheduler.py::test_build_dag_linear PASSED           [ 39%]
tests/test_executor_scheduler.py::test_build_dag_duplicate_task_id PASSED [ 39%]
tests/test_executor_scheduler.py::test_build_dag_missing_dependency PASSED [ 40%]
tests/test_executor_scheduler.py::test_topological_linear PASSED         [ 40%]
tests/test_executor_scheduler.py::test_topological_diamond PASSED        [ 40%]
tests/test_executor_scheduler.py::test_topological_cycle PASSED          [ 40%]
tests/test_executor_scheduler.py::test_linear_dag PASSED                 [ 41%]
tests/test_executor_scheduler.py::test_diamond_dag PASSED                [ 41%]
tests/test_executor_scheduler.py::test_diamond_partial_failure PASSED    [ 41%]
tests/test_executor_scheduler.py::test_cycle_detected PASSED             [ 42%]
tests/test_executor_scheduler.py::test_missing_dependency PASSED         [ 42%]
tests/test_executor_scheduler.py::test_noop_task PASSED                  [ 42%]
tests/test_executor_scheduler.py::test_no_dependencies PASSED            [ 43%]
tests/test_executor_scheduler.py::test_mixed_states PASSED               [ 43%]
tests/test_executor_scheduler.py::test_pending_review_blocks_downstream PASSED [ 43%]
tests/test_executor_scheduler.py::test_multi_file_task_partial_error PASSED [ 43%]
tests/test_executor_scheduler.py::test_long_cascade PASSED               [ 44%]
tests/test_experiment_schema.py::test_passed_verdict PASSED              [ 44%]
tests/test_experiment_schema.py::test_failed_verdict PASSED              [ 44%]
tests/test_experiment_schema.py::test_round_trip PASSED                  [ 45%]
tests/test_experiment_schema.py::test_write_verdict_writes_files PASSED  [ 45%]
tests/test_experiment_schema.py::test_write_verdict_file_not_found_error PASSED [ 45%]
tests/test_experiment_schema.py::test_write_verdict_rejects_mismatched_run_id PASSED [ 46%]
tests/test_experiment_schema.py::test_normalize_git_url PASSED           [ 46%]
tests/test_experiment_schema.py::test_experiment_schema_round_trip PASSED [ 46%]
tests/test_experiment_schema.py::test_write_read_experiment PASSED       [ 46%]
tests/test_experiment_schema.py::test_experiment_verify_success PASSED   [ 47%]
tests/test_experiment_schema.py::test_experiment_verify_mismatches PASSED [ 47%]
tests/test_git_safety.py::test_is_git_repo_true PASSED                   [ 47%]
tests/test_git_safety.py::test_is_git_repo_false PASSED                  [ 48%]
tests/test_git_safety.py::test_resolve_git_root PASSED                   [ 48%]
tests/test_git_safety.py::test_current_branch_main PASSED                [ 48%]
tests/test_git_safety.py::test_current_head_returns_sha PASSED           [ 49%]
tests/test_git_safety.py::test_is_working_tree_clean_true PASSED         [ 49%]
tests/test_git_safety.py::test_is_working_tree_clean_false PASSED        [ 49%]
tests/test_git_safety.py::test_working_tree_status_dirty PASSED          [ 50%]
tests/test_git_safety.py::test_check_patch_valid PASSED                  [ 50%]
tests/test_git_safety.py::test_check_patch_invalid PASSED                [ 50%]
tests/test_git_safety.py::test_create_controlled_branch PASSED           [ 50%]
tests/test_git_safety.py::test_apply_patch PASSED                        [ 51%]
tests/test_git_safety.py::test_revert_apply PASSED                       [ 51%]
tests/test_git_safety.py::test_repository_state PASSED                   [ 51%]
tests/test_git_safety.py::test_force_reset_apply_with_invalid_sha_does_not_clean PASSED [ 52%]
tests/test_git_safety.py::test_force_reset_apply_restores_exact_state PASSED [ 52%]
tests/test_git_safety.py::test_non_git_dir_reported_clearly PASSED       [ 52%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_full_frontmatter PASSED [ 53%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_no_frontmatter PASSED [ 53%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_partial_frontmatter PASSED [ 53%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_comma_labels PASSED [ 53%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_title_with_colon PASSED [ 54%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_empty_content_raises PASSED [ 54%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_whitespace_only_raises PASSED [ 54%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_malformed_frontmatter_raises PASSED [ 55%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_raw_preserved PASSED [ 55%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_frontmatter_body_empty PASSED [ 55%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_labels_inconsistent_whitespace PASSED [ 56%]
tests/test_issue_schema.py::TestParseIssueMarkdown::test_blank_lines_in_frontmatter PASSED [ 56%]
